,Best Picture,Certificate (GB),Certificate (US),Production Companies (1st),Title,IMDB Rating,genres,plot_keywords,genres_encoded,genres_decode,production_company_encoded,plot_keywords_encoded,plot_keywords_decode
32,,15,R,Fox Atomic,Miss March,5.0,"['Comedy', 'Romance']","['just', 'falls', 'years']",[ 4 18],['Comedy' 'Romance'],3531,[43 21 97],['just' 'falls' 'years']
33,,15,R,Warner Bros.,Cradle 2 the Grave,5.8,"['Action', 'Crime', 'Drama', 'Thriller']",['daughter'],[ 0  5  7 21],['Action' 'Crime' 'Drama' 'Thriller'],7819,[11],['daughter']
34,,15,Unrated,MiNDS i CiNEMA,Don't Sleep,3.4,"['Fantasy', 'Horror', 'Thriller']",['young'],[ 9 12 21],['Fantasy' 'Horror' 'Thriller'],5294,[99],['young']
35,,15,,Australian Film Finance Corporation (AFFC),Blackrock,6.0,"['Drama', 'Thriller']","['group', 'young']",[ 7 21],['Drama' 'Thriller'],945,[35 99],['group' 'young']
36,,15,,Broadcasting Authority of Ireland,Deadly Cuts,5.9,['Comedy'],['set'],[4],['Comedy'],1650,[74],['set']
37,,U,PG,Warner Bros.,Happy Feet Two,5.8,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']","['save', 'friends', 'son', 'world', 'family', 'home', 'discover', 'new']",[ 2  1  4  8 13 14 18],['Animation' 'Adventure' 'Comedy' 'Family' 'Music' 'Musical' 'Romance'],7819,[71 30 76 95 22 38 15 59],['save' 'friends' 'son' 'world' 'family' 'home' 'discover' 'new']
38,,12,PG-13,Greisman Productions,Texas Rangers,5.2,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western']","['war', 'group', 'american']",[ 0  1  7 21 23],['Action' 'Adventure' 'Drama' 'Thriller' 'Western'],3900,[89 35  1],['war' 'group' 'american']
39,,15,R,Color Force,All Day and a Night,6.0,['Drama'],"['man', 'young']",[7],['Drama'],2287,[53 99],['man' 'young']
40,,U,PG,Illuminated Film Company,Christmas Carol: The Movie,5.3,"['Animation', 'Family', 'Fantasy']","['real', 'old']",[2 8 9],['Animation' 'Family' 'Fantasy'],4265,[67 61],['real' 'old']
42,,PG,PG-13,Fox 2000 Pictures,Drumline,5.9,"['Comedy', 'Drama', 'Romance', 'Music']",[],[ 4  7 18 13],['Comedy' 'Drama' 'Romance' 'Music'],3530,[],[]
43,,15,R,Wild Style,Wild Style,7.0,"['Drama', 'Music']",[],[ 7 13],['Drama' 'Music'],7896,[],[]
44,,15,R,Skipped Parts Productions,Skipped Parts,6.3,"['Comedy', 'Drama', 'Romance']","['father', 'town', 'teenage', 'mother', 'son', 'young']",[ 4  7 18],['Comedy' 'Drama' 'Romance'],6905,[23 85 83 56 76 99],['father' 'town' 'teenage' 'mother' 'son' 'young']
45,,15,R,Acacia Filmed Entertainment,A Private War,6.7,"['Biography', 'Drama', 'War']","['war', 'time']",[ 3  7 22],['Biography' 'Drama' 'War'],357,[89 84],['war' 'time']
46,,,R,Hollywood Media Bridge,Attack of the 50 Foot Cheerleader,4.4,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi', 'Thriller']","['drug', 'college', 'make']",[ 1  4 18 19 21],['Adventure' 'Comedy' 'Romance' 'Sci-Fi' 'Thriller'],4135,[18  7 52],['drug' 'college' 'make']
47,,PG,,Hideaway Pictures,Hotel for the Holidays,5.2,"['Comedy', 'Romance']","['city', 'follows', 'york', 'time', 'new']",[ 4 18],['Comedy' 'Romance'],4090,[ 6 27 98 84 59],['city' 'follows' 'york' 'time' 'new']
48,,15,R,Overbrook Entertainment,The Harder They Fall,6.6,"['Action', 'Drama', 'Western']","['prison', 'discovers']",[ 0  7 23],['Action' 'Drama' 'Western'],5829,[66 16],['prison' 'discovers']
49,,12,PG-13,ESX Entertainment,A California Christmas,5.8,"['Comedy', 'Drama', 'Romance']",['family'],[ 4  7 18],['Comedy' 'Drama' 'Romance'],2899,[22],['family']
50,,15,Not Rated,Stormchaser Films,Intruder,3.4,"['Horror', 'Mystery', 'Thriller']","['soon', 'home', 'young']",[12 15 21],['Horror' 'Mystery' 'Thriller'],7106,[77 38 99],['soon' 'home' 'young']
51,,15,R,Contend,Cabin Fever,3.7,"['Horror', 'Sci-Fi', 'Thriller']","['long', 'friends', 'college', 'group']",[12 19 21],['Horror' 'Sci-Fi' 'Thriller'],2359,[49 30  7 35],['long' 'friends' 'college' 'group']
52,,15,R,Miramax,40 Days and 40 Nights,5.6,"['Comedy', 'Romance']","['girl', 'finds', 'man', 'young']",[ 4 18],['Comedy' 'Romance'],5359,[33 26 53 99],['girl' 'finds' 'man' 'young']
53,,,PG,Harpo Films,The Water Man,5.5,"['Adventure', 'Drama', 'Family', 'Fantasy']","['boy', 'mother', 'save']",[1 7 8 9],['Adventure' 'Drama' 'Family' 'Fantasy'],4013,[ 4 56 71],['boy' 'mother' 'save']
54,,18,R,Netflix,Extraction,6.8,"['Action', 'Thriller']","['crime', 'son']",[ 0 21],['Action' 'Thriller'],5567,[10 76],['crime' 'son']
55,,18,R,Blue Bally,Extreme Movie,3.7,['Comedy'],[],[4],['Comedy'],1445,[],[]
56,,15,PG-13,Cinema Group Ventures,The Best of Times,6.0,"['Comedy', 'Drama', 'Sport']","['small', 'town', 'time']",[ 4  7 20],['Comedy' 'Drama' 'Sport'],2144,[75 85 84],['small' 'town' 'time']
57,,Not Rated,TV-G,Disney Television Animation,Phineas and Ferb the Movie: Candace Against the Universe,7.1,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Sci-Fi']",[],[ 2  1  4  8 14 19],['Animation' 'Adventure' 'Comedy' 'Family' 'Musical' 'Sci-Fi'],2759,[],[]
58,,PG,TV-Y7,Netflix,The Soccer Football Movie,3.1,"['Animation', 'Comedy', 'Family', 'Sport']","['evil', 'team', 'help', 'young']",[ 2  4  8 20],['Animation' 'Comedy' 'Family' 'Sport'],5567,[19 82 36 99],['evil' 'team' 'help' 'young']
59,,18,R,Dimension Films,Halloween II,4.8,['Horror'],['brother'],[12],['Horror'],2743,[5],['brother']
60,,12,PG-13,Paramount Pictures,Naked Gun 33 1/3: The Final Insult,6.5,"['Comedy', 'Crime']","['police', 'help', 'comes']",[4 5],['Comedy' 'Crime'],5921,[65 36  8],['police' 'help' 'comes']
61,,12,PG-13,Paramount Pictures,The Naked Gun 2½: The Smell of Fear,6.9,"['Comedy', 'Crime']","['ex', 'discovers', 'new']",[4 5],['Comedy' 'Crime'],5921,[20 16 59],['ex' 'discovers' 'new']
62,,,TV-14,Funny or Die,Weird: The Al Yankovic Story,6.9,"['Comedy', 'Crime', 'Music']","['life', 'love']",[ 4  5 13],['Comedy' 'Crime' 'Music'],3615,[45 51],['life' 'love']
63,,12,TV-14,Happy Madison Productions,Sandy Wexler,5.2,['Comedy'],['group'],[4],['Comedy'],4005,[35],['group']
64,,15,PG-13,Paramount Pictures,The Naked Gun: From the Files of Police Squad!,7.6,"['Comedy', 'Crime']",['police'],[4 5],['Comedy' 'Crime'],5921,[65],['police']
65,,PG,PG-13,Cinecorp SAC,UHF,6.9,"['Comedy', 'Sci-Fi']",['local'],[ 4 19],['Comedy' 'Sci-Fi'],2125,[48],['local']
66,,,G,Dualstar Productions,The Challenge,5.2,"['Adventure', 'Comedy', 'Family']",[],[1 4 8],['Adventure' 'Comedy' 'Family'],2862,[],[]
67,,12,Not Rated,Universal Pictures,Land of the Lost,5.3,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['world', 'time']",[ 0  1  4 19],['Action' 'Adventure' 'Comedy' 'Sci-Fi'],7676,[95 84],['world' 'time']
68,,15,R,Orion Pictures,Lost Angels,5.9,['Drama'],"['police', 'family']",[7],['Drama'],5809,[65 22],['police' 'family']
69,,18,R,Entertainment Film Distributors,Rancid Aluminum,3.5,"['Comedy', 'Crime', 'Drama', 'Thriller']",['daughter'],[ 4  5  7 21],['Comedy' 'Crime' 'Drama' 'Thriller'],3068,[11],['daughter']
70,,18,,Bonaparte Films,Goodbye Charlie Bright,6.2,['Drama'],"['relationship', 'story', 'long', 'teenage', 'set']",[7],['Drama'],1520,[68 79 49 83 74],['relationship' 'story' 'long' 'teenage' 'set']
71,,18,Not Rated,Channel Four Films,Like It Is,6.4,"['Drama', 'Romance', 'Sport']","['meets', 'town', 'falls', 'love', 'young']",[ 7 18 20],['Drama' 'Romance' 'Sport'],2007,[54 85 21 51 99],['meets' 'town' 'falls' 'love' 'young']
72,,12A,,455 Films,What We Left Behind: Looking Back at Star Trek: Deep Space Nine,8.3,"['Documentary', 'Sci-Fi']",[],[ 6 19],['Documentary' 'Sci-Fi'],151,[],[]
73,,18,R,Black Owl Productions,Spontaneous Combustion,4.8,"['Horror', 'Sci-Fi', 'Thriller']","['finds', 'man', 'young']",[12 19 21],['Horror' 'Sci-Fi' 'Thriller'],1385,[26 53 99],['finds' 'man' 'young']
74,,15,R,Hollywood Pictures,The Marrying Man,5.7,"['Comedy', 'Music', 'Romance']","['woman', 'goes', 'comes']",[ 4 13 18],['Comedy' 'Music' 'Romance'],4136,[92 34  8],['woman' 'goes' 'comes']
75,,U,PG,Paramount Pictures,Explorers,6.4,"['Adventure', 'Comedy', 'Family', 'Romance', 'Sci-Fi']","['boy', 'help', 'friend']",[ 1  4  8 18 19],['Adventure' 'Comedy' 'Family' 'Romance' 'Sci-Fi'],5921,[ 4 36 29],['boy' 'help' 'friend']
76,,18,R,RSL,Night Patrol,4.6,['Comedy'],"['night', 'police']",[4],['Comedy'],6303,[60 65],['night' 'police']
77,,PG,PG,Geffen Pictures,Defending Your Life,7.2,"['Comedy', 'Drama', 'Fantasy']","['city', 'lives', 'way']",[4 7 9],['Comedy' 'Drama' 'Fantasy'],3690,[ 6 46 90],['city' 'lives' 'way']
78,,,R,Graymark Productions,Cloud 9,4.2,"['Comedy', 'Sport']","['team', 'group']",[ 4 20],['Comedy' 'Sport'],3865,[82 35],['team' 'group']
79,,15,R,Cinema Group Ventures,Trading Places,7.5,['Comedy'],[],[4],['Comedy'],2144,[],[]
80,,15,R,Hollywood Pictures,Duets,6.1,"['Comedy', 'Drama', 'Music', 'Romance']","['daughter', 'turns']",[ 4  7 13 18],['Comedy' 'Drama' 'Music' 'Romance'],4136,[11 88],['daughter' 'turns']
81,,15,R,Avery Pix,Friday After Next,5.8,"['Comedy', 'Drama']","['run', 'day']",[4 7],['Comedy' 'Drama'],974,[70 12],['run' 'day']
82,,15,R,Orion Pictures,Married to the Mob,6.2,"['Comedy', 'Crime', 'Romance']","['husband', 'gets', 'long', 'wife']",[ 4  5 18],['Comedy' 'Crime' 'Romance'],5809,[40 32 49 91],['husband' 'gets' 'long' 'wife']
83,,12,PG-13,Clinica Estetico,Ricki and the Flash,6.0,"['Comedy', 'Drama', 'Music']","['returns', 'family', 'home', 'make']",[ 4  7 13],['Comedy' 'Drama' 'Music'],2236,[69 22 38 52],['returns' 'family' 'home' 'make']
84,,12,PG-13,Paramount Pictures,Hardball,6.4,"['Comedy', 'Drama', 'Sport']","['living', 'life', 'team']",[ 4  7 20],['Comedy' 'Drama' 'Sport'],5921,[47 45 82],['living' 'life' 'team']
85,,15,Not Rated,Splashprod,Submergence,5.4,"['Drama', 'Romance', 'Thriller']","['gets', 'life', 'love']",[ 7 18 21],['Drama' 'Romance' 'Thriller'],7027,[32 45 51],['gets' 'life' 'love']
86,,U,PG,Pixar Animation Studios,Finding Dory,7.3,"['Animation', 'Adventure', 'Comedy', 'Family']","['long', 'real', 'family', 'way', 'begins']",[2 1 4 8],['Animation' 'Adventure' 'Comedy' 'Family'],6068,[49 67 22 90  2],['long' 'real' 'family' 'way' 'begins']
87,,U,PG,Universal Pictures,Sing 2,7.4,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']","['friends', 'new']",[ 2  1  4  8 14],['Animation' 'Adventure' 'Comedy' 'Family' 'Musical'],7676,[30 59],['friends' 'new']
88,,15,TV-14,Sisters Films,Rim of the World,5.2,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['order', 'save', 'world']",[ 0  1  4 19],['Action' 'Adventure' 'Comedy' 'Sci-Fi'],6890,[62 71 95],['order' 'save' 'world']
89,,U,PG,Universal Pictures,The Grinch,6.4,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",[],[ 2  4  8  9 14],['Animation' 'Comedy' 'Family' 'Fantasy' 'Musical'],7676,[],[]
90,,18,R,X-Vision Filmproduction GmbH & Co. KG,Legion of the Dead,3.2,"['Comedy', 'Horror']","['dead', 'gets', 'evil', 'small', 'soon', 'town', 'just', 'local', 'falls', 'killer', 'people', 'love', 'secret', 'man', 'fight', 'friend', 'mysterious', 'old']",[ 4 12],['Comedy' 'Horror'],7965,[13 32 19 75 77 85 43 48 21 44 64 51 73 53 24 29 58 61],"['dead' 'gets' 'evil' 'small' 'soon' 'town' 'just' 'local' 'falls'
 'killer' 'people' 'love' 'secret' 'man' 'fight' 'friend' 'mysterious'
 'old']"
91,,15,R,Element Films,Down in the Valley,6.4,"['Drama', 'Romance', 'Thriller']","['relationship', 'set', 'woman', 'man', 'young', 'day']",[ 7 18 21],['Drama' 'Romance' 'Thriller'],2980,[68 74 92 53 99 12],['relationship' 'set' 'woman' 'man' 'young' 'day']
92,,18,,Better Noise Films,The Retaliators,5.3,"['Horror', 'Thriller']","['murder', 'daughter']",[12 21],['Horror' 'Thriller'],1283,[57 11],['murder' 'daughter']
93,,15,R,thefyzz,The Informer,6.6,"['Action', 'Crime', 'Drama', 'Thriller']","['order', 'gets', 'ex', 'prison']",[ 0  5  7 21],['Action' 'Crime' 'Drama' 'Thriller'],8042,[62 32 20 66],['order' 'gets' 'ex' 'prison']
94,,15,TV-MA,Double Negative (DNEG),Entergalactic,7.4,"['Animation', 'Comedy', 'Music', 'Romance']","['real', 'life', 'love', 'make', 'run', 'new']",[ 2  4 13 18],['Animation' 'Comedy' 'Music' 'Romance'],2823,[67 45 51 52 70 59],['real' 'life' 'love' 'make' 'run' 'new']
95,,15,R,Bold Films,Vox Lux,5.8,"['Drama', 'Music']",['set'],[ 7 13],['Drama' 'Music'],1507,[74],['set']
96,,15,R,Lakeshore Entertainment,The Hunted,6.0,"['Action', 'Crime', 'Drama', 'Thriller']",[],[ 0  5  7 21],['Action' 'Crime' 'Drama' 'Thriller'],4719,[],[]
97,,,Unrated,ITVS International,King Corn,7.0,['Documentary'],"['best', 'documentary', 'friends', 'college', 'help', 'comes']",[6],['Documentary'],4245,[ 3 17 30  7 36  8],['best' 'documentary' 'friends' 'college' 'help' 'comes']
98,,PG,PG-13,Twentieth Century Fox,Glitter,2.4,"['Drama', 'Music', 'Romance']","['relationship', 'young']",[ 7 13 18],['Drama' 'Music' 'Romance'],7610,[68 99],['relationship' 'young']
99,,15,TV-14,Sienna Films,New Waterford Girl,6.9,['Comedy'],"['small', 'girl', 'town', 'life', 'york', 'year', 'new', 'old']",[4],['Comedy'],6847,[75 33 85 45 98 96 59 61],['small' 'girl' 'town' 'life' 'york' 'year' 'new' 'old']
100,,15,R,Orion Pictures,Class,6.0,"['Comedy', 'Drama', 'Romance']","['school', 'night', 'woman', 'man', 'young']",[ 4  7 18],['Comedy' 'Drama' 'Romance'],5809,[72 60 92 53 99],['school' 'night' 'woman' 'man' 'young']
101,,PG,PG,Searchlight Pictures,Napoleon Dynamite,7.0,['Comedy'],"['school', 'small', 'life', 'high', 'family', 'help', 'home', 'new', 'friend']",[4],['Comedy'],6736,[72 75 45 37 22 36 38 59 29],['school' 'small' 'life' 'high' 'family' 'help' 'home' 'new' 'friend']
102,,12,PG-13,Warner Bros.,Tenet,7.3,"['Action', 'Sci-Fi', 'Thriller']","['real', 'world', 'time']",[ 0 19 21],['Action' 'Sci-Fi' 'Thriller'],7819,[67 95 84],['real' 'world' 'time']
103,,12,R,Universal Pictures,Anna Karenina,6.6,"['Drama', 'Romance']","['life', 'high']",[ 7 18],['Drama' 'Romance'],7676,[45 37],['life' 'high']
104,,18,R,Sigma Films,Outlaw King,6.9,"['Action', 'Biography', 'Drama', 'History', 'War']","['true', 'story']",[ 0  3  7 11 22],['Action' 'Biography' 'Drama' 'History' 'War'],6851,[87 79],['true' 'story']
105,,15,Not Rated,Fís Éireann / Screen Ireland,Dating Amber,7.0,"['Comedy', 'Drama', 'Romance']","['school', 'relationship', 'friends']",[ 4  7 18],['Comedy' 'Drama' 'Romance'],3633,[72 68 30],['school' 'relationship' 'friends']
106,,15,R,Mockingbird Pictures,Albert Nobbs,6.7,"['Drama', 'Romance']","['work', 'living', 'meets', 'women', 'man']",[ 7 18],['Drama' 'Romance'],5380,[94 47 54 93 53],['work' 'living' 'meets' 'women' 'man']
107,,15,R,Ruby Films,Chatroom,5.4,"['Drama', 'Horror', 'Thriller']",['lives'],[ 7 12 21],['Drama' 'Horror' 'Thriller'],6570,[46],['lives']
108,,12,PG-13,Marvel Studios,Avengers: Age of Ultron,7.3,"['Action', 'Adventure', 'Sci-Fi']",['stop'],[ 0  1 19],['Action' 'Adventure' 'Sci-Fi'],5190,[78],['stop']
109,,PG,PG-13,Bull's Eye Entertainment,The Illusionist,7.5,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']","['woman', 'love']",[ 7  9 15 18 21],['Drama' 'Fantasy' 'Mystery' 'Romance' 'Thriller'],1701,[92 51],['woman' 'love']
110,,15,R,Focus Features,Nocturnal Animals,7.5,"['Drama', 'Thriller']","['husband', 'ex']",[ 7 21],['Drama' 'Thriller'],3467,[40 20],['husband' 'ex']
111,,15,R,87North,Bullet Train,7.3,"['Action', 'Comedy', 'Thriller']",[],[ 0  4 21],['Action' 'Comedy' 'Thriller'],203,[],[]
112,,12,PG-13,Touchstone Pictures,Shanghai Knights,6.2,"['Action', 'Adventure', 'Comedy']","['father', 'way', 'make']",[0 1 4],['Action' 'Adventure' 'Comedy'],7537,[23 90 52],['father' 'way' 'make']
113,,15,R,Ixtlan,Savages,6.4,"['Action', 'Crime', 'Drama', 'Thriller']",['drug'],[ 0  5  7 21],['Action' 'Crime' 'Drama' 'Thriller'],4429,[18],['drug']
114,,12,PG-13,Nickelodeon Movies,"Angus, Thongs and Perfect Snogging",6.3,"['Comedy', 'Drama', 'Romance']","['story', 'girl', 'year', 'old']",[ 4  7 18],['Comedy' 'Drama' 'Romance'],5635,[79 33 96 61],['story' 'girl' 'year' 'old']
115,,15,R,Barbarian Films,The Greatest,6.6,"['Drama', 'Romance']","['girl', 'teenage', 'son', 'family']",[ 7 18],['Drama' 'Romance'],1145,[33 83 76 22],['girl' 'teenage' 'son' 'family']
116,,PG,PG,Cine II CV,Tom & Thomas,6.6,['Family'],"['boy', 'begins', 'young', 'friend']",[8],['Family'],2112,[ 4  2 99 29],['boy' 'begins' 'young' 'friend']
117,,PG,PG,Thema Production,The Thief Lord,5.9,"['Adventure', 'Drama', 'Family', 'Fantasy']","['small', 'mother', 'mysterious']",[1 7 8 9],['Adventure' 'Drama' 'Family' 'Fantasy'],7447,[75 56 58],['small' 'mother' 'mysterious']
118,,15,R,Ecosse Films,Nowhere Boy,7.1,"['Biography', 'Drama', 'Music', 'Romance']","['relationship', 'mother', 'life', 'years', 'young']",[ 3  7 13 18],['Biography' 'Drama' 'Music' 'Romance'],2935,[68 56 45 97 99],['relationship' 'mother' 'life' 'years' 'young']
119,,15,R,Momentum Pictures,A Million Little Pieces,6.2,['Drama'],"['drug', 'man', 'young', 'past']",[7],['Drama'],5390,[18 53 99 63],['drug' 'man' 'young' 'past']
120,,15,R,Amazon Studios,The Wall,6.2,"['Action', 'Drama', 'Thriller', 'War']",['american'],[ 0  7 21 22],['Action' 'Drama' 'Thriller' 'War'],582,[1],['american']
121,,12A,PG-13,Warner Bros.,Godzilla,6.4,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['save', 'world']",[ 0  1 19 21],['Action' 'Adventure' 'Sci-Fi' 'Thriller'],7819,[71 95],['save' 'world']
122,,15,18+,Marv Films,Kick-Ass,7.6,"['Action', 'Comedy', 'Crime']","['school', 'student', 'high', 'day']",[0 4 5],['Action' 'Comedy' 'Crime'],5187,[72 80 37 12],['school' 'student' 'high' 'day']
123,,15,R,Universal Pictures,Kick-Ass 2,6.5,"['Action', 'Comedy', 'Crime', 'Thriller']","['evil', 'group']",[ 0  4  5 21],['Action' 'Comedy' 'Crime' 'Thriller'],7676,[19 35],['evil' 'group']
